Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
12;Sun;domingo, 25 de junho de 2023;18:30;Bragantino;1.7;2–0;0.2;Goiás;3,798;Estádio Nabi Abi Chedid;Bruno Mota Correia;Match Report;
12;Sun;domingo, 25 de junho de 2023;18:30;América (MG);1.3;1–2;1.0;Internacional;2,249;Estádio Raimundo Sampaio;Flavio Rodrigues de Souza;Match Report;
12;Sun;domingo, 25 de junho de 2023;18:30;Santos;1.8;2–3;0.8;Flamengo;;Estádio Urbano Caldeira;Wilton Sampaio;Match Report;
12;Sat;sábado, 24 de junho de 2023;21:00;Cruzeiro;0.5;1–0;1.4;São Paulo;17,478;Estádio Governador Magalhães Pinto;Ramon Abatti;Match Report;
12;Mon;segunda-feira, 26 de junho de 2023;21:00;Vasco da Gama;1.7;1–0;0.6;Cuiabá;;Estádio Club de Regatas Vasco da Gama;Rafael Rodrigo Klein;Match Report;
13;Sat;sábado, 1 de julho de 2023;16:00;São Paulo;1.1;1–0;0.2;Fluminense;49,153;Estádio do Morumbi;Anderson Daronco;Match Report;
13;Sat;sábado, 1 de julho de 2023;18:30;Bahia;1.9;1–2;2.9;Grêmio;34,09;Itaipava Arena Fonte Nova;Marcelo de Lima Henrique;Match Report;
13;Sat;sábado, 1 de julho de 2023;18:30;Flamengo;1.3;2–0;1.6;Fortaleza;64,853;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
13;Sun;domingo, 2 de julho de 2023;11:00;Corinthians;0.6;0–1;0.9;Bragantino;42,404;Neo Química Arena;Edina Alves Batista;Match Report;
13;Sun;domingo, 2 de julho de 2023;16:00;Botafogo (RJ);1.7;2–0;0.9;Vasco da Gama;38,798;Estádio Nilton Santos;Raphael Claus;Match Report;
13;Sun;domingo, 2 de julho de 2023;16:00;Atlético Mineiro;1.3;2–2;2.6;América (MG);34,507;Estádio Governador Magalhães Pinto;Wilton Sampaio;Match Report;
13;Sun;domingo, 2 de julho de 2023;16:00;Ath Paranaense;3.5;2–2;1.6;Palmeiras;33,118;Estádio Joaquim Américo Guimarães;Jean Pierre Goncalves Lima;Match Report;
13;Sun;domingo, 2 de julho de 2023;17:30 (18:30);Cuiabá;1.1;3–0;0.3;Santos;13,477;Arena Pantanal;Bruno Mota Correia;Match Report;
13;Sat;sábado, 1 de julho de 2023;21:00;Internacional;2.0;0–0;1.0;Cruzeiro;23,923;Estádio José Pinheiro Borba;Wagner do Nascimento Magalhães;Match Report;
13;Mon;segunda-feira, 3 de julho de 2023;20:00;Goiás;1.9;1–2;0.9;Coritiba;10,394;Estádio de Hailé Pinheiro;Denis da Silva Ribeiro Serafim;Match Report;
14;Sat;sábado, 8 de julho de 2023;15:00 (16:00);Cuiabá;1.5;1–1;0.3;Bahia;10,149;Arena Pantanal;Wagner do Nascimento Magalhães;Match Report;
14;Sat;sábado, 8 de julho de 2023;16:00;Vasco da Gama;1.3;0–1;0.7;Cruzeiro;;Estádio Club de Regatas Vasco da Gama;Savio Pereira;Match Report;
14;Sat;sábado, 8 de julho de 2023;18:30;Atlético Mineiro;1.4;0–1;0.8;Corinthians;21,086;Estádio Governador Magalhães Pinto;Rodrigo José Pereira de Lima;Match Report;
14;Sat;sábado, 8 de julho de 2023;18:30;Coritiba;1.9;3–1;1.1;América (MG);24,653;Estádio Major Antônio Couto Pereira;Rafael Rodrigo Klein;Match Report;
14;Sun;domingo, 9 de julho de 2023;11:00;Santos;2.4;4–3;1.9;Goiás;;Estádio Urbano Caldeira;Bruno Arleu de Araujo;Match Report;
14;Sun;domingo, 9 de julho de 2023;16:00;Bragantino;1.6;0–0;0.5;São Paulo;9,411;Estádio Nabi Abi Chedid;Raphael Claus;Match Report;
14;Sun;domingo, 9 de julho de 2023;16:00;Fluminense;1.1;2–0;0.4;Internacional;34,166;Estadio Jornalista Mário Filho;Luiz Flávio de Oliveira;Match Report;
14;Sun;domingo, 9 de julho de 2023;18:30;Fortaleza;1.5;1–0;1.2;Ath Paranaense;36,399;Estádio Castelão;André Luiz Skettino Policarpo Bento;Match Report;
14;Sun;domingo, 9 de julho de 2023;18:30;Grêmio;1.6;0–2;1.1;Botafogo (RJ);47,029;Arena do Grêmio;Flavio de Souza;Match Report;
14;Sat;sábado, 8 de julho de 2023;21:00;Palmeiras;1.1;1–1;0.8;Flamengo;40,229;Allianz Parque;Ramon Abatti;Match Report;
15;Sun;domingo, 16 de julho de 2023;11:00;Cruzeiro;0.8;0–0;1.1;Coritiba;22,123;Estádio Governador Magalhães Pinto;Leandro Pedro Vuaden;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;São Paulo;3.2;4–1;1.1;Santos;58,127;Estádio do Morumbi;Braulio Machado;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;Fortaleza;0.9;0–1;0.7;Cuiabá;43,048;Estádio Castelão;Yuri Elino Ferreira da Cruz;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;Fluminense;1.5;0–0;0.4;Flamengo;62,354;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
15;Sun;domingo, 16 de julho de 2023;18:30;Ath Paranaense;2.2;2–0;1.0;Bahia;17,091;Estádio Joaquim Américo Guimarães;Rafael Rodrigo Klein;Match Report;
15;Sun;domingo, 16 de julho de 2023;18:30;Internacional;0.5;0–0;1.4;Palmeiras;41,823;Estádio José Pinheiro Borba;Rodrigo José Pereira de Lima;Match Report;
15;Sat;sábado, 15 de julho de 2023;21:00;Botafogo (RJ);1.0;2–0;1.4;Bragantino;37,036;Estádio Nilton Santos;Anderson Daronco;Match Report;
15;Mon;segunda-feira, 17 de julho de 2023;20:00;Goiás;1.5;0–0;0.2;Atlético Mineiro;12,303;Estádio de Hailé Pinheiro;Raphael Claus;Match Report;
16;Sat;sábado, 22 de julho de 2023;16:00;Palmeiras;1.4;3–1;1.5;Fortaleza;39,699;Allianz Parque;Rafael Rodrigo Klein;Match Report;
16;Sat;sábado, 22 de julho de 2023;16:00;Flamengo;2.5;1–1;1.3;América (MG);60,402;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
